customer_tweet_id,customer_text,agent_tweet_id,agent_text,created_at,weak_intent
238936,"Suggestion for the @115888 marketing team: keep the ""happy death day"" horror adds off the ""peace"" playlists plz",238934,@172819 Hey Liz. We didn't mean to cause any offense. We'll pass the feedback on to the right people,Tue Oct 03 20:00:49 +0000 2017,feature_request_feedback
156967,"@SpotifyCares The other playlists stay synced except songs often get removed from my device and need to redownload... which I assume is to give me the latest version, but really how often does a song need to actually refresh?",156968,@152052 Got it. Could you DM us your account's email address? We'll take a look under the hood /KB,Sun Nov 26 03:52:26 +0000 2017,content_missing_restricted
2631683,"@3493 @115888 @SpotifyCares why isn't Red Velvet's Perfect Velvet album available yet, please fix  :((( @15672",2631682,"@743109 Hey there! We’ll have it available to you as soon as it’s available to us!  If you ever need anything else, just shout",Fri Nov 17 18:38:53 +0000 2017,content_missing_restricted
77728,My @115888 it's okay now 😍 I can download and stream all the songs of @133324  💜💜💜,77726,@131452 Nice. Glad to hear it's all good. Just let us know if we can help with anything else.,Thu Nov 30 12:08:45 +0000 2017,downloads_offline_issue
1255449,"@SpotifyCares I uploaded a new single via an aggregator, Tunecore, and the company uploaded the single to a different artist? Help?? -Tori",1255448,@414369 2: They'll work with our team to make sure your artist page gets fixed up,Thu Oct 26 06:52:09 +0000 2017,general_chitchat_ack
969386,@SpotifyCares Well I'm using Spotify all weekend long usually.  Do you still make money or how would you like me to connect?,969389,"@350097 1: We understand. Don't worry, you can still enjoy Spotify even without a subscription. There's more info...",Sun Oct 22 07:03:16 +0000 2017,general_chitchat_ack
968803,@115888 will the Xbox app ever have genius lyrics compatibility?,968802,"@349984 Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see",Sun Oct 22 01:08:14 +0000 2017,device_platform_support
1968121,"@SpotifyCares I have enough money to get Premium, yet I always get an Error message. You know, I don’t HAVE to use the service.",1968120,"@583172 Hi Mike, help has arrived. Can you DM us your account's email address or username? We'll take a look under the hood /ME",Tue Oct 31 14:29:46 +0000 2017,billing_payment_subscription
574261,@115888 what's a token error,574260,@255065 Hey Michael! Can you DM us your account's username and email address? It'd be great if you could include a screenshot of the exact message you're getting /JL,Sun Dec 03 06:44:06 +0000 2017,playback_streaming_issue
499273,@SpotifyCares you have locked my friend out of her account and she will not stop bothering me at work. please help her change her payment info. Her name is Riley Barsella and she needs some tunes!!!!!,499272,@234235 Hey Hailey! We'd be glad to help out. Can you have Riley send us a tweet @SpotifyCares? We'll check it out 🔍,Fri Dec 01 19:09:05 +0000 2017,billing_payment_subscription
2364806,@SpotifyCares @SpotifyCares um hello??,2364804,@682732 Hey there! Can you let us know how we can help you out exactly? We'll see what we can do,Mon Nov 13 22:12:26 +0000 2017,general_chitchat_ack
1884871,"@115888 I can install and set up Pandora faster than I can get out to finally play a song, this is ridiculous. Stutter, crash, silence, etc",1884870,"@562393 Hi Jonathan, help's here. What device, operating system, and Spotify version are you using? We'll see what we can suggest",Mon Oct 23 09:04:31 +0000 2017,playback_streaming_issue
2786615,@SpotifyCares The issue is on the website. I want to purchase premium but as soon as I click on 'Get Premium' I get a 504. It's on both my laptop and my phone,2786617,@777979 Got it! Our best tech folks are on the case as we speak. Hopefully we'll have a fix soon,Tue Nov 21 20:40:31 +0000 2017,billing_payment_subscription
578825,@SpotifyCares is there any way you can unlink my spotify account from my friend's PS4?,578824,@256290 Hey there! Can you fire over your account's email address or username via DM? We'll see what we can suggest /RC,Sun Dec 03 10:29:15 +0000 2017,device_platform_support
1110211,Yo @115888 what the hell your remover my download,1110210,@382005 Hi! Sorry to hear that. Check out the “Downloads unexpectedly removed” section at  They should help with this,Sat Oct 14 04:14:39 +0000 2017,downloads_offline_issue
1876241,@SpotifyCares hello i really need your help i cannot seem to see the names of all the accounts in my family premium package. Need to manage,1876240,@560113 Hi there! Could you send us a DM with your account's email address or username? We'll take a look backstage /DR,Sun Oct 22 07:35:05 +0000 2017,family_plan_management
1907410,@SpotifyCares And I get an error404 ifI try to connect via facebook. Could you help me please?,1907409,"@568307 Hey there, we're here to help! Could you DM us your account's email address and username? We'll check backstage for you /BX",Wed Oct 25 16:20:07 +0000 2017,general_chitchat_ack
936218,@SpotifyCares Hey! The last time I sent you the artist URI link you guys removed the other artist that was being linked to it. Can we do it again? :),936216,"@341955 Got it. Could you DM us your artist URI, and your contact email address? We’ll chase this up! /MT",Sat Oct 14 00:44:00 +0000 2017,content_missing_restricted
2064971,"@115888 please add jazz back in the title and get rid of the nonjazz, i'm trying to ace college and i need your playlist",2064970,"@610656 1: Hi! Our Curation team is independent &amp; uses taste, data, research, and trends to create playlists. Don't worry, we've already...",Sat Oct 07 21:35:04 +0000 2017,feature_request_feedback
1290555,I wish @115888  had a feature where it builds your discover page based on what you're doing. my gym tastes are WAY different than normal.,1290554,"@421804 Hey Patryk! Thanks for sharing your thoughts, we'll pass it on to the relevant folks 🙂",Thu Oct 26 20:17:44 +0000 2017,feature_request_feedback
2913809,"@SpotifyCares That doesnt fix, it has been doing it on the web version and the app for awhile. The ad lengths are random but this is the longest ive seen.",2913811,@806602 We see. Could you try a quick reinstall fo the app for us? Just follow the steps here:  Let us know if this helps,Tue Nov 28 23:55:18 +0000 2017,feature_request_feedback
2118724,"@SpotifyCares getting this error a lot. I’ve logged out, revoke access and changes passwords. Please help",2118723,"@624402 Hey Henry, help's here! Can you DM us your account's email address? We'll take a look backstage /SJ",Wed Nov 08 14:32:43 +0000 2017,playback_streaming_issue
2519539,@SpotifyCares Oh no it's not that I'm missing it.  It's just that it doesn't exist.  It needs to be added,2519537,@405923 We understand. Could you send us the Playlist Link? Just tap the three dots &gt; Share &gt; Copy Link,Thu Nov 16 01:05:53 +0000 2017,content_missing_restricted
1426292,"@SpotifyCares Windows 7 desktop, and it should be the latest version. I can give more specific details in 14 hours",1426294,@451350 2: you have needs to be downloaded again. Let us know how it goes,Thu Nov 02 05:13:59 +0000 2017,device_platform_support
1599875,@SpotifyCares I'm on a Galaxy J7. I'll open the app and it just gets stuck loading for minutes.,1599877,"@491260 Does this happen on cellular data, WiFi, or both? Can you also tell us how much storage you have left on your device (or SD card)?",Sun Nov 05 04:35:22 +0000 2017,playback_streaming_issue
1055025,@SpotifyCares ok cool thanks!,1055026,@369286  You know where to find us if there's anything else 🙂,Fri Oct 13 04:32:22 +0000 2017,general_chitchat_ack
2495852,@SpotifyCares Thanks for responding certain songs from some of my favorite albums that are older have seemed to been removed what’s up with that?,2495850,@712302 Got it. Sometimes content gets removed due to licensing or legal issues. Hopefully we'll have them available again soon,Mon Oct 30 01:26:02 +0000 2017,content_missing_restricted
841109,When are @AppleSupport or @115888 going to sort out this issue since the new update? Sick of putting on a song and it skipping ever second,841107,"@320113 Hey, help's here. What device, operating system, and Spotify version are you using? We'll see what we can suggest",Mon Oct 09 08:34:35 +0000 2017,playback_streaming_issue
2272400,"My Avril Lavigne station has been playing country, Hannah Montana, some Spanish songs, and now Christmas carols... @115888, please explain.",2272399,"@661050 Hey Savannah! Radio is based on what you, and others like you, are listening to.",Thu Oct 19 18:42:51 +0000 2017,general_chitchat_ack
1574540,@117153 I'm still stuck on free! This has been a week now. Tidal or pandora or Apple Music wouldn't do this shit.,1574539,@485242 Hi Gaby! Could you send us a DM with your account's email address? We'll take a look backstage /DR,Sat Nov 04 14:41:54 +0000 2017,playback_streaming_issue
611978,".@115888 migration process is not perfect. I have some extra albums I have never seen, not sure what is missing. #Groove #BringBackZune",611977,@184908 Hey! We're here to help. Can you DM us your account's email address? We'll take a look backstage /CP,Wed Oct 04 22:31:21 +0000 2017,content_missing_restricted
2121354,"@SpotifyCares okay so my premium subscription ran out a week or two ago, and I just now got the means to resubscribe. However, upon submitting my card information, I got a message saying something along the lines of ""your payment provider is having a bad day"". Whats up with this?",2121351,@625012 Hi Graham! Help's here. Can you DM us your account's username or email address? We'll take a look backstage /CP,Wed Nov 08 14:52:03 +0000 2017,billing_payment_subscription
2393607,@SpotifyCares Appreciated!,2393609,@689161 You're welcome!  🎶,Tue Nov 14 22:09:48 +0000 2017,general_chitchat_ack
1571914,"@SpotifyCares Hey guys! Can you help me? Tried upgrading to premium w/ visa Oops, seems your card or payment provider is having a bad day.",1571913,"@484612 Hey there, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TY",Sat Nov 04 13:30:56 +0000 2017,billing_payment_subscription
